3001530	6053.07
3001530	-1524.52
3001530	7444.00
3001557	15450.87
3001557	-954.13
3001557	16405.00
3001560	10085.75
3001560	-1512.05
3001560	11597.80
3001571	11090.09
3001571	-2734.41
3001571	13824.50
3001574	10541.12
3001574	-906.37
3001574	11447.50
3001575	10922.35
3001575	-598.65
3001575	11521.00
3001584	11151.06
3001584	-2053.84
3001584	13204.90
3001694	12175.71
3001694	-2252.18
3001694	14427.90
3001695	16967.61
3001695	-3513.36
3001695	20481.00
3001842	14470.95
3001842	-2220.25
3001842	16691.20
3001858	10995.04
3001858	-2196.16
3001858	13191.20
3002022	12216.32
3002022	-3575.98
3002022	15792.30
3002040	11981.14
3002040	-2087.36
3002040	14068.50
3002044	12476.19
3002044	-2214.81
3002044	14691.00
3002055	24678.90
3002055	-316.10
3002055	24995.00
3002058	18876.60
3002058	-1559.27
3002058	20449.90
3002071	10372.01
3002071	-1088.29
3002071	11460.30
1716827224189071360	3917.99
1716827224189071360	-889.51
1716827224189071360	4807.50
1876327886924546048	20450.20
1876327886924546048	-77.60
1876327886924546048	20527.80
